shipment_id,delivery_date,region,vehicle_type,traffic_level,distance_km,shipment_volume,promised_time_hours,delivery_time_hours,transportation_cost,on_time,delayed,distance_km_normalized,shipment_volume_normalized,delivery_time_hours_normalized,transportation_cost_normalized
SHP10001,2026-01-21,North,Van,Low,348.7,16.0,10.57,9.74,1179.17,1,0,0.7733602875112309,0.8333333333333334,0.5756600128783002,0.7549948566378348
SHP10002,2026-04-13,East,Van,Low,198.6,14.0,7.37,8.29,853.74,0,1,0.43620844564240785,0.7222222222222222,0.4822923374114617,0.5192477651729184
SHP10003,2026-02-01,South,Van,Low,386.7,11.0,10.83,9.79,1141.53,1,0,0.8587151841868822,0.5555555555555556,0.578879587894398,0.727727792990539
SHP10004,2026-02-26,North,Truck,Medium,314.4,17.0,9.99,10.71,1034.77,0,1,0.6963162623539981,0.8888888888888888,0.6381197681905989,0.6503890120398139
SHP10005,2026-03-16,North,Truck,Low,44.2,3.0,3.18,1.9,184.99,1,0,0.08939802336028752,0.1111111111111111,0.07083065035415326,0.034793758421350025
SHP10006,2026-01-26,West,Van,High,439.1,18.0,12.58,15.3,1353.35,0,1,0.9764150943396226,0.9444444444444444,0.933676754668384,0.8811738456411815
SHP10007,2026-03-12,West,Van,Medium,343.0,17.0,10.56,10.96,1121.51,0,1,0.7605570530098832,0.8888888888888888,0.6542176432710883,0.7132249605192622
SHP10008,2026-02-18,West,Bike,High,354.2,10.0,10.08,11.97,1072.28,0,1,0.7857142857142857,0.5,0.7192530585962654,0.6775619014502832
SHP10009,2026-06-02,North,Van,Medium,59.4,14.0,4.59,4.74,449.18,0,1,0.12353998203054806,0.7222222222222222,0.2537025112685126,0.2261775401689341
SHP10010,2026-06-04,South,Truck,High,203.8,10.0,7.08,8.12,716.74,0,1,0.44788858939802334,0.5,0.47134578235672897,0.4200026079019428
SHP10011,2026-01-01,West,Bike,Low,168.1,6.0,5.96,6.19,562.99,0,1,0.3676999101527403,0.2777777777777778,0.347070186735351,0.30862346242447947
SHP10012,2026-04-19,East,Van,Medium,417.2,16.0,11.94,13.45,1306.02,0,1,0.9272237196765498,0.8333333333333334,0.8145524790727624,0.8468871792642818
SHP10013,2026-04-26,North,Van,Low,290.5,5.0,8.31,8.16,908.61,1,0,0.6426325247079964,0.2222222222222222,0.4739214423696073,0.5589965372857536
SHP10014,2026-03-10,North,Van,High,370.6,6.0,10.01,11.68,1073.11,0,1,0.8225516621743038,0.2777777777777778,0.7005795235028976,0.6781631677315598
SHP10015,2026-03-26,South,Bike,Medium,200.6,10.0,7.01,8.53,742.05,0,1,0.44070080862533684,0.5,0.49774629748873156,0.4383376073948508
SHP10016,2026-05-23,West,Van,High,103.8,16.0,5.68,7.17,615.61,0,1,0.22327044025157228,0.8333333333333334,0.41017385705086934,0.34674229582301036
SHP10017,2026-03-10,North,Van,Low,250.5,8.0,7.81,7.39,795.6,1,0,0.5527852650494159,0.3888888888888889,0.4243399871217,0.47713014879529414
SHP10018,2026-01-12,West,Van,High,30.6,10.0,3.61,5.2,810.55,0,1,0.05884995507637017,0.5,0.2833226014166131,0.4879601860303385
SHP10019,2026-03-09,East,Van,Medium,372.8,1.0,9.56,12.27,984.45,0,1,0.8274932614555256,0.0,0.7385705086928526,0.6139363382159053
SHP10020,2026-02-15,West,Truck,Medium,285.0,3.0,8.0,7.22,760.16,1,0,0.6302785265049415,0.1111111111111111,0.4133934320669672,0.4514568030019848
SHP10021,2026-03-10,West,Van,High,341.6,2.0,9.03,11.88,909.16,0,1,0.7574123989218329,0.05555555555555555,0.7134578235672893,0.5593949667492502
SHP10022,2026-02-11,South,Truck,Medium,160.8,2.0,5.42,3.73,418.34,1,0,0.3513027852650494,0.05555555555555555,0.1886670959433355,0.20383651352486923
SHP10023,2026-01-27,West,Truck,Medium,436.9,17.0,12.44,13.99,1396.71,0,1,0.9714734950584006,0.8888888888888888,0.8493238892466195,0.9125845757088422
SHP10024,2026-06-27,North,Bike,Medium,402.1,16.0,11.64,14.59,1326.92,0,1,0.8933063791554358,0.8333333333333334,0.887958789439794,0.8620274988771534
SHP10025,2026-01-24,South,Van,Low,350.7,16.0,10.61,11.45,1166.94,0,1,0.7778526504941599,0.8333333333333334,0.6857694784288474,0.7461352342040828
SHP10026,2026-05-08,North,Bike,Low,89.2,2.0,3.98,3.61,433.98,1,0,0.19047619047619044,0.05555555555555555,0.18094011590470058,0.21516639863230028
SHP10027,2026-05-10,North,Truck,Low,211.1,2.0,6.42,5.51,580.76,1,0,0.4642857142857142,0.05555555555555555,0.30328396651641987,0.32149635618145195
SHP10028,2026-04-22,North,Van,Low,21.6,6.0,3.03,2.43,285.3,1,0,0.03863432165318958,0.2777777777777778,0.10495814552479076,0.10746004839106939
SHP10029,2026-06-14,North,Bike,High,71.1,11.0,4.52,5.82,472.81,0,1,0.14982030548068279,0.5555555555555556,0.32324533161622676,0.24329551875516148
SHP10030,2026-01-01,North,Bike,Medium,308.0,7.0,8.86,8.82,919.09,1,0,0.6819407008086253,0.3333333333333333,0.5164198325820992,0.5665884296083801
SHP10031,2026-02-24,South,Van,Medium,335.7,10.0,9.71,10.34,1033.4,0,1,0.7441599281221922,0.5,0.6142949130714747,0.6493965604671043
SHP10032,2026-02-03,North,Bike,Medium,435.4,4.0,11.11,12.37,1154.7,0,1,0.9681042228212039,0.16666666666666666,0.7450096587250483,0.7372683675982672
SHP10033,2026-04-14,North,Truck,Medium,148.0,14.0,6.36,6.12,735.76,1,0,0.32255166217430364,0.7222222222222222,0.34256278171281396,0.4337810231668622
SHP10034,2026-04-25,West,Truck,Medium,168.0,6.0,5.96,5.57,659.6,1,0,0.36747529200359386,0.2777777777777778,0.3071474565357374,0.37860940873067617
SHP10035,2026-06-11,North,Bike,High,212.4,2.0,6.45,6.66,623.18,0,1,0.4672057502246181,0.05555555555555555,0.37733419188667106,0.3522261340751365
SHP10036,2026-03-10,North,Van,High,86.9,15.0,5.24,7.36,617.87,0,1,0.18530997304582209,0.7777777777777778,0.4224082421120413,0.34837947870937824
SHP10037,2026-02-12,North,Bike,Medium,60.2,18.0,5.0,6.1,544.86,0,1,0.12533692722371967,0.9444444444444444,0.3412749517063748,0.2954897784732183
SHP10038,2026-06-16,North,Van,Low,215.1,1.0,6.4,6.35,645.69,1,0,0.4732704402515723,0.0,0.35737282678686416,0.36853276539024354
SHP10039,2026-05-02,East,Bike,Medium,103.7,9.0,4.97,6.45,475.85,0,1,0.22304582210242585,0.4444444444444444,0.36381197681905997,0.2454977470624882
SHP10040,2026-05-18,West,Truck,Medium,302.1,16.0,9.64,10.73,1121.7,0,1,0.6686882300089848,0.8333333333333334,0.6394075981970381,0.7133625997884702
SHP10041,2026-03-22,East,Van,Medium,197.8,14.0,7.36,8.51,906.64,0,1,0.43441150044923627,0.7222222222222222,0.4964584674822924,0.5575694353892293
SHP10042,2026-03-22,East,Van,Medium,375.0,17.0,11.2,12.71,1245.51,0,1,0.8324348607367476,0.8888888888888888,0.766902768834514,0.8030526941075904
SHP10043,2026-03-12,North,Van,Medium,315.7,8.0,9.11,9.87,859.88,0,1,0.699236298292902,0.3888888888888889,0.5840309079201546,0.5236956868199533
SHP10044,2026-05-15,West,Van,Low,141.9,8.0,5.64,4.73,551.52,1,0,0.30884995507637014,0.3888888888888889,0.25305859626529303,0.3003143970675591
SHP10045,2026-02-07,North,Van,Low,374.9,14.0,10.9,13.65,1252.21,0,1,0.832210242587601,0.7222222222222222,0.827430779137154,0.8079062893901856
SHP10046,2026-06-25,East,Van,Medium,362.5,3.0,9.55,9.92,996.39,0,1,0.8043575920934412,0.1111111111111111,0.5872504829362525,0.6225858796598136
SHP10047,2026-02-01,South,Van,Low,175.6,5.0,6.01,4.97,607.52,1,0,0.3845462713387241,0.2222222222222222,0.2685125563425628,0.3408817606235783
