shipment_id,delivery_date,region,vehicle_type,traffic_level,distance_km,shipment_volume,promised_time_hours,delivery_time_hours,transportation_cost,on_time,delayed
SHP10001,2026-01-21,North,Van,Low,348.7,16.0,10.57,9.74,1179.17,1,0
SHP10002,2026-04-13,East,Van,Low,198.6,14.0,7.37,8.29,853.74,0,1
SHP10003,2026-02-01,South,Van,Low,386.7,11.0,10.83,9.79,1141.53,1,0
SHP10004,2026-02-26,North,Truck,Medium,314.4,17.0,9.99,10.71,1034.77,0,1
SHP10005,2026-03-16,North,Truck,Low,44.2,3.0,3.18,1.9,184.99,1,0
SHP10006,2026-01-26,West,Van,High,439.1,18.0,12.58,15.3,1353.35,0,1
SHP10007,2026-03-12,West,Van,Medium,343.0,17.0,10.56,10.96,1121.51,0,1
SHP10008,2026-02-18,West,Bike,High,354.2,10.0,10.08,11.97,1072.28,0,1
SHP10009,2026-06-02,North,Van,Medium,59.4,14.0,4.59,4.74,449.18,0,1
SHP10010,2026-06-04,South,Truck,High,203.8,10.0,7.08,8.12,716.74,0,1
SHP10011,2026-01-01,West,Bike,Low,168.1,6.0,5.96,6.19,562.99,0,1
SHP10012,2026-04-19,East,Van,Medium,417.2,16.0,11.94,13.45,1306.02,0,1
SHP10013,2026-04-26,North,Van,Low,290.5,5.0,8.31,8.16,908.61,1,0
SHP10014,2026-03-10,North,Van,High,370.6,6.0,10.01,11.68,1073.11,0,1
SHP10015,2026-03-26,South,Bike,Medium,200.6,10.0,7.01,8.53,742.05,0,1
SHP10016,2026-05-23,West,Van,High,103.8,16.0,5.68,7.17,615.61,0,1
SHP10017,2026-03-10,North,Van,Low,250.5,8.0,7.81,7.39,795.6,1,0
SHP10018,2026-01-12,West,Van,High,30.6,10.0,3.61,5.2,,0,1
SHP10019,2026-03-09,East,Van,Medium,372.8,1.0,9.56,12.27,984.45,0,1
SHP10020,2026-02-15,West,Truck,Medium,285.0,3.0,8.0,7.22,760.16,1,0
SHP10021,2026-03-10,West,Van,High,341.6,2.0,9.03,11.88,909.16,0,1
SHP10022,2026-02-11,South,Truck,Medium,160.8,2.0,5.42,3.73,418.34,1,0
SHP10023,2026-01-27,West,Truck,Medium,436.9,17.0,12.44,13.99,1396.71,0,1
SHP10024,2026-06-27,North,Bike,Medium,402.1,16.0,11.64,14.59,1326.92,0,1
SHP10025,2026-01-24,South,Van,Low,350.7,16.0,10.61,11.45,1166.94,0,1
SHP10026,2026-05-08,North,Bike,Low,89.2,2.0,3.98,3.61,433.98,1,0
SHP10027,2026-05-10,North,Truck,Low,211.1,2.0,6.42,5.51,580.76,1,0
SHP10028,2026-04-22,North,Van,Low,21.6,6.0,3.03,2.43,285.3,1,0
SHP10029,2026-06-14,North,Bike,High,71.1,11.0,4.52,5.82,472.81,0,1
SHP10030,2026-01-01,North,Bike,Medium,308.0,7.0,8.86,8.82,919.09,1,0
SHP10031,2026-02-24,South,Van,Medium,335.7,10.0,9.71,10.34,1033.4,0,1
SHP10032,2026-02-03,North,Bike,Medium,435.4,4.0,11.11,12.37,1154.7,0,1
SHP10033,2026-04-14,North,Truck,Medium,148.0,14.0,6.36,6.12,735.76,1,0
SHP10034,2026-04-25,West,Truck,Medium,168.0,6.0,5.96,5.57,659.6,1,0
SHP10035,2026-06-11,North,Bike,High,212.4,2.0,6.45,6.66,623.18,0,1
SHP10036,2026-03-10,North,Van,High,86.9,15.0,5.24,7.36,617.87,0,1
SHP10037,2026-02-12,North,Bike,Medium,60.2,18.0,5.0,6.1,544.86,0,1
SHP10038,2026-06-16,North,Van,Low,215.1,1.0,6.4,6.35,645.69,1,0
SHP10039,2026-05-02,East,Bike,Medium,103.7,9.0,4.97,6.45,475.85,0,1
SHP10040,2026-05-18,West,Truck,Medium,302.1,16.0,9.64,10.73,1121.7,0,1
SHP10041,2026-03-22,East,Van,Medium,197.8,14.0,7.36,8.51,906.64,0,1
SHP10042,2026-03-22,East,Van,Medium,375.0,17.0,11.2,12.71,1245.51,0,1
SHP10043,2026-03-12,North,Van,Medium,315.7,8.0,9.11,9.87,859.88,0,1
SHP10044,2026-05-15,West,Van,Low,141.9,8.0,5.64,4.73,551.52,1,0
SHP10045,2026-02-07,North,Van,Low,374.9,14.0,10.9,13.65,1252.21,0,1
SHP10046,2026-06-25,East,Van,Medium,362.5,3.0,9.55,9.92,996.39,0,1
SHP10047,2026-02-01,South,Van,Low,175.6,5.0,6.01,4.97,607.52,1,0
SHP10048,2026-03-24,West,Van,Low,131.2,12.0,5.82,6.03,,0,1
SHP10049,2026-02-26,South,Bike,Medium,307.8,13.0,9.46,10.68,1052.96,0,1
SHP10050,2026-04-26,East,Bike,Medium,64.6,3.0,3.59,2.25,370.92,1,0
SHP10051,2026-05-03,South,Bike,Low,91.6,10.0,4.83,5.67,542.89,0,1
SHP10052,2026-06-15,East,Van,Medium,5.3,7.0,2.81,2.85,,0,1
SHP10053,2026-05-23,West,Bike,Medium,354.5,,10.09,9.86,1096.05,1,0
SHP10054,2026-02-14,East,Truck,Low,299.9,19.0,9.9,11.45,1162.52,0,1
SHP10055,2026-02-07,South,Van,High,317.9,2.0,8.56,11.19,841.56,0,1
SHP10056,2026-06-09,South,Van,High,351.8,19.0,10.94,11.91,1208.89,0,1
